"IEA fossil fuel subsidies database","","","","","","","","","","","","","","",""
"© 2024 IEA","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Unit: Real 2023 million USD","","","","","","","","","","","","","","",""
"","","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Nigeria","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nigeria","Total","2,031.5","4,322.7","4,045.0","3,931.3","3,169.1","594.9","47.1","834.7","1,842.1","1,414.3","292.0","4,091.7","15,571.4","5,906.0"
"Oman","Oil","90.8","-","-","-","139.2","117.1","131.7","150.4","165.3","151.7","140.1","203.8","224.8","219.3"
"Oman","Electricity","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oman","Gas","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oman","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oman","Total","90.8","-","-","-","139.2","117.1","131.7","150.4","165.3","151.7","140.1","203.8","224.8","219.3"
"Pakistan","Oil","169.6","2,703.4","615.9","90.6","163.0","167.1","92.4","92.2","91.5","129.8","184.8","550.7","8,556.9","472.1"
"Pakistan","Electricity","2,240.7","2,226.6","2,693.1","2,427.8","2,160.5","651.3","241.9","1,536.7","2,184.9","961.7","-","1,532.8","6,847.8","1,859.3"
"Pakistan","Gas","5,476.2","6,008.5","6,920.2","5,027.1","3,938.7","1,941.6","1,110.6","1,295.0","2,592.8","1,644.3","43.6","5,017.1","9,417.6","6,843.2"
"Pakistan","Coal","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pakistan","Total","7,886.5","10,938.5","10,229.2","7,545.5","6,262.1","2,759.9","1,444.9","2,923.9","4,869.2","2,735.8","228.4","7,100.7","24,822.3","9,174.6"
"Qatar","Oil","1,972.1","2,635.6","2,294.9","2,614.1","2,223.7","796.2","375.6","545.0","448.6","378.2","228.5","597.4","1,575.4","903.0"
